Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"17,5 tỷ","138/46-48, Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","125 m² (7,5x17,0)",7 phòng,7 WC,1,N/A,Nam,Sổ hồng
"10,5 tỷ","Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","83,8 m² (4,4x19,1)",5 phòng,3 WC,3,N/A,N/A,Sổ hồng
"11,5 tỷ","Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","86 m² (4,0x22,0)",4 phòng,N/A,3,N/A,N/A,Sổ hồng
50 tỷ,"Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TP.HCM","Biệt thự, Villa","300 m² (12,0x25,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"17,8 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"86 m² (6,0x15,0)",13 phòng,13 WC,N/A,N/A,N/A,Sổ hồng
"10,8 tỷ","Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",80 m²,10 phòng,10 WC,N/A,N/A,N/A,Sổ hồng
"18,6 tỷ","Đường Nguyễn Thượng Hiền, Phường 6, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,90 m²,N/A,N/A,4,N/A,N/A,Sổ hồng
"4,75 tỷ","Đường Phan Văn Trị, Phường 14, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","40,9 m²",3 phòng,2 WC,2,Đông Bắc,Đông Bắc,Sổ hồng
55 tỷ,"Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","290 m² (12,0x24,0)",37 phòng,37 WC,7,N/A,N/A,Sổ hồng
"4,15 tỷ","Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","35 m² (3,5x10,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"1,83 tỷ","Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",15 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,15 tỷ","Đường Võ Duy Ninh, Phường 21, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","44 m² (11,0x4,0)",N/A,N/A,N/A,N/A,N/A,Sổ đỏ
17 tỷ,"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"100 m² (4,5x22,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"12,9 tỷ","Đường Bình Lợi, Phường 13, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","120 m² (6,0x20,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
19 tỷ,"Đường Lê Quang Định, Phường 14, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"122 m² (4,7x27,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,95 tỷ","Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",44 m²,4 phòng,2 WC,1,N/A,N/A,Sổ hồng
"16,5 tỷ","Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"110 m² (5,0x22,0)",3 phòng,N/A,2,N/A,N/A,Sổ hồng
"3,85 tỷ","Đường Đinh Bộ Lĩnh, Phường 25, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","40 m² (4,8x4,5)",2 phòng,2 WC,N/A,Nam,Nam,Sổ hồng
"11,8 tỷ","758/28/38, Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",81 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","52 m² (3,5x14,0)",5 phòng,5 WC,4,N/A,Đông Nam,Sổ hồng
"5,5 tỷ","45/34E, Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","42 m² (4,2x10,0)",4 phòng,4 WC,3,N/A,Đông Bắc,Sổ hồng
390 triệu,"482 /51, Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","21 m² (3,0x7,0)",3 phòng,4 WC,4,N/A,Nam,Sổ hồng
"4,6 tỷ","273/69, Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","30 m² (4,7x6,5)",2 phòng,2 WC,2,N/A,Đông Nam,Sổ hồng
18 tỷ,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"85 m² (4,0x21,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,35 tỷ","105/6, Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","36 m² (3,5x12,0)",3 phòng,3 WC,3,N/A,Đông Bắc,Sổ hồng
22 tỷ,"Đường Bình Quới, Phường 27, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"125 m² (6,0x25,0)",25 phòng,25 WC,6,N/A,Tây Bắc,Sổ hồng
"17,8 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","80 m² (6,0x15,0)",13 phòng,13 WC,3,Nam,Nam,Sổ hồng
4 tỷ,"Đường Thanh Đa, Phường 27, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","26 m² (3,0x9,0)",2 phòng,3 WC,3,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","50 m² (4,0x14,0)",5 phòng,5 WC,4,Đông,Đông,Sổ hồng
"8,35 tỷ","Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","52 m² (4,9x12,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
