Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"15,9 tỷ","Đường Bạch Đằng, Phường 2, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","105 m² (6,0x18,0)",7 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"2,15 tỷ","Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
"12,5 tỷ","686, Đường Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","66 m² (4,0x17,0)",4 phòng,5 WC,4,N/A,Đông Nam,Sổ hồng
68 tỷ,"Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"300 m² (8,9x34,0)",5 phòng,4 WC,2,N/A,N/A,Sổ hồng
"2,78 tỷ","Đường Nguyễn Bặc, Phường 3, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","64 m² (4,5x14,2)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"12,9 tỷ","Đường Phan Sào Nam, Phường 11, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","130 m² (5,0x26,0)",2 phòng,1 WC,1,N/A,N/A,Sổ hồng
"5,3 tỷ","870/54/2, Đường Lạc Long Quân, Phường 8, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","48 m² (4,5x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,25 tỷ","Đường Âu Cơ, Phường 9, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,88 tỷ","Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","60,4 m² (4,0x15,1)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"13,8 tỷ","Đường Bàu Cát, Phường 14, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",6 phòng,8 WC,N/A,N/A,N/A,Sổ hồng
65 tỷ,"128/37A, Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, TP.HCM","Biệt thự, Villa","300 m² (20,0x15,0)",30 phòng,30 WC,N/A,Đông,Đông,Sổ hồng
"2,75 tỷ","Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","48 m² (4,5x10,6)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
128 tỷ,"Đường Trường Chinh, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"390 m² (17,0x36,0)",N/A,N/A,2,N/A,Nam,Sổ hồng
"3,05 tỷ","Đường Mai Lão Bạng, Phường 13, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","57 m² (4,5x12,7)",4 phòng,5 WC,3,N/A,N/A,Sổ hồng
"3,79 tỷ","Đường Hiệp Nhất, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","67 m² (4,1x15,5)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
25 tỷ,"Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"100 m² (3,8x24,0)",N/A,N/A,4,N/A,Tây,Sổ hồng
10 tỷ,"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"120 m² (6,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"32,9 tỷ","Đường Trần Quốc Hoàn, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","240 m² (8,0x30,0)",7 phòng,6 WC,3,N/A,N/A,Sổ hồng
"2,85 tỷ","Đường Đất Thánh, Phường 6, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","64 m² (4,6x14,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
"6,36 tỷ","Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","50 m² (4,2x12,0)",4 phòng,4 WC,5,N/A,N/A,Sổ hồng
"2,25 tỷ","Đường Tân Canh, Phường 1, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"54 m² (4,5x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"25,5 tỷ","Đường C27, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"350 m² (8,0x20,0)",5 phòng,6 WC,3,N/A,Bắc,Sổ hồng
"4,65 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","49 m² (4,0x12,5)",2 phòng,2 WC,2,Đông Bắc,Đông Bắc,Sổ hồng
"5,65 tỷ","Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",45 m²,3 phòng,3 WC,N/A,Đông Bắc,Đông Bắc,Sổ hồng
"13,5 tỷ","Đường Thân Nhân Trung, Phường 13, Quận Tân Bình, TP.HCM",Nhà mặt tiền,53 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"13,8 tỷ","Đường Bàu Cát 6, Phường 14, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",N/A,N/A,5,N/A,N/A,Sổ hồng
"14,35 tỷ","MT, Đường Bàu Cát, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"100 m² (4,0x25,0)",2 phòng,2 WC,1,Đông Bắc,Đông Bắc,Sổ hồng
"13,8 tỷ","Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"105 m² (4,0x26,0)",5 phòng,5 WC,2,Nam,Nam,Sổ hồng
"28,5 tỷ","Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"140 m² (8,0x18,0)",7 phòng,8 WC,4,N/A,Đông Nam,Sổ hồng
47 tỷ,"38, Đường B6, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"165 m² (9,0x18,0)",N/A,N/A,5,N/A,N/A,Sổ hồng
"31,5 tỷ","Đường Phan Huy Ích, Phường 15, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"200 m² (14,0x14,0)",45 phòng,47 WC,N/A,N/A,N/A,Sổ đỏ
"6,6 tỷ","Đường Phú Hòa, Phường 8, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","40 m² (4,3x11,7)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"6,45 tỷ","148/18, Đường Trần Văn Quang, Phường 10, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","57 m² (5,7x10,0)",4 phòng,3 WC,3,Tây,Tây,Sổ hồng
"11,3 tỷ","Đường Bạch Đằng, Phường 2, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"27,5 tỷ","Đường Sầm Sơn, Phường 4, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"125 m² (5,0x25,0)",N/A,N/A,7,N/A,N/A,Sổ hồng
"7,2 tỷ","Đường Nghĩa Phát, Phường 6, Quận Tân Bình, TP.HCM",Nhà mặt tiền,42 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"2,85 tỷ","Đường Cộng Hòa, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","54 m² (4,5x12,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"8,4 tỷ","Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",2 phòng,2 WC,1,N/A,N/A,Sổ hồng
"7,3 tỷ","Đường Âu Cơ, Phường 9, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",68 m²,3 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"6,1 tỷ","Đường Hồng Lạc, Phường 10, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",70 m²,4 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"7,3 tỷ","Đường Âu Cơ, Phường 9, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",68 m²,3 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"20,2 tỷ","Đường Đồng Đen, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"350 m² (4,0x17,0)",8 phòng,7 WC,4,Tây Nam,Tây Nam,Sổ hồng
42 tỷ,"Đường Cộng Hòa, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"160 m² (5,0x20,0)",7 phòng,8 WC,4,N/A,Đông Nam,Sổ hồng
"34,8 tỷ","Đường Cù Chính Lan, Phường 13, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"140 m² (9,0x18,0)",7 phòng,7 WC,4,Đông Nam,Đông Nam,Sổ hồng
"15,8 tỷ","Đường Nhất Chi Mai, Phường 13, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"66 m² (4,7x14,0)",5 phòng,6 WC,N/A,N/A,Tây Bắc,Sổ hồng
69 tỷ,"Đường Lê Văn Huân, Phường 13, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"200 m² (13,0x16,0)",10 phòng,11 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
