Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
450 tỷ,"369B, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"387 m² (14,5x27,0)",N/A,N/A,10,N/A,N/A,Sổ hồng
850 tỷ,"3 - 5, Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"914 m² (22,0x42,0)",N/A,N/A,10,N/A,N/A,Sổ hồng
59 tỷ,"89-91, Đường Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"116,8 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
4 tỷ,"Đường Lê Lợi, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","15 m² (4,0x4,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
145 tỷ,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"164 m² (8,0x20,0)",N/A,N/A,7,N/A,Đông Nam,Sổ hồng
"19,99 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","68 m² (4,0x10,0)",5 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"11,5 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","30 m² (4,1x9,0)",3 phòng,2 WC,3,N/A,N/A,Sổ hồng
95 tỷ,"9-11, Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"144,7 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
165 tỷ,"146-148, Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"155,9 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
125 tỷ,"27A , Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, TP.HCM","Biệt thự, Villa","233 m² (10,0x22,5)",N/A,N/A,3,N/A,N/A,Sổ hồng
"2,75 tỷ","Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","12 m² (3,0x4,0)",3 phòng,2 WC,3,N/A,Đông Bắc,Sổ đỏ
"11,5 tỷ","Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ","100 m² (4,0x12,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"4,35 tỷ","Đường Trần Quý Khoách, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ",64 m²,3 phòng,3 WC,3,N/A,N/A,Sổ hồng
31 tỷ,"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"100 m² (4,0x27,0)",10 phòng,10 WC,6,Tây Bắc,Tây Bắc,Sổ hồng
24 tỷ,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"66 m² (4,6x15,0)",5 phòng,6 WC,5,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, TP.HCM","Nhà hẻm, ngõ","32 m² (4,0x8,0)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
96 tỷ,"Đường Võ Thị Sáu, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"157 m² (8,0x21,0)",N/A,N/A,N/A,N/A,Đông Nam,Sổ hồng
"8,5 tỷ","Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, TP.HCM","Nhà hẻm, ngõ","33,6 m² (3,0x11,0)",4 phòng,3 WC,4,Tây Nam,Tây Nam,Sổ hồng
19 tỷ,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ","152 m² (8,3x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","30 m² (3,0x10,0)",3 phòng,4 WC,5,N/A,N/A,Sổ hồng
27 tỷ,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,70 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,18 m²,4 phòng,5 WC,N/A,N/A,N/A,Giấy tờ hợp lệ
"26,5 tỷ","Đường Đinh Công Tráng, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,100 m²,N/A,N/A,5,N/A,N/A,Sổ hồng
"36,5 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ","181 m² (13,0x15,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,6 tỷ","35N/1D1, Đường Hồ Hảo Hớn, Phường Cô Giang, Quận 1, TP.HCM","Nhà hẻm, ngõ","14 m² (3,9x4,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"29,5 tỷ","173, Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"78 m² (4,1x20,7)",N/A,N/A,5,N/A,Đông Bắc,Sổ hồng
33 tỷ,"Đường Đề Thám, Phường Cô Giang, Quận 1, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",5 phòng,4 WC,3,N/A,N/A,Sổ hồng
"59,99 tỷ","89-91, Đường Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"120 m² (7,2x17,0)",8 phòng,8 WC,4,Tây Bắc,Tây Bắc,Sổ hồng
55 tỷ,"63-65, Đường Đề Thám, Phường Cô Giang, Quận 1, TP.HCM",Nhà mặt tiền,"165 m² (9,0x18,5)",8 phòng,4 WC,2,Đông Bắc,Đông Bắc,Sổ hồng
53 tỷ,"127B-127C, Đường Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"102 m² (7,0x15,5)",8 phòng,8 WC,5,N/A,Tây Bắc,Sổ hồng
"29,5 tỷ","Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,80 m²,N/A,N/A,5,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Lê Lợi, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","35 m² (4,0x9,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"19,5 tỷ","147C, Đường Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"41,9 m² (3,3x13,0)",N/A,N/A,4,Bắc,Bắc,Sổ hồng
"30,5 tỷ","153, Đường Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"59,3 m²",N/A,N/A,5,Bắc,Bắc,Sổ hồng
"3,45 tỷ","11A, Đường Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"10 m² (2,0x5,0)",3 phòng,2 WC,3,N/A,N/A,Sổ hồng
33 tỷ,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"62 m² (4,4x14,1)",4 phòng,5 WC,4,Đông Nam,Đông Nam,Sổ hồng
