Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
235 tỷ,"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,4.530 m²,11 phòng,11 WC,N/A,N/A,N/A,Sổ hồng
10 tỷ,"Đường Sơn Kỳ, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","177 m² (6,0x17,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
7 tỷ,"Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","80 m² (4,5x18,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
5 tỷ,"Đường Lê Thúc Hoạch, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","50 m² (4,0x12,5)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"5,99 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","65 m² (4,0x16,0)",2 phòng,2 WC,N/A,Đông,Đông,Sổ hồng
450 tỷ,"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,11.222 m²,10 phòng,10 WC,N/A,N/A,N/A,Sổ hồng
"1,2 tỷ","Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","63 m² (4,5x14,0)",3 phòng,3 WC,1,N/A,Đông Nam,Sổ hồng
"4,5 tỷ","21/10, Đường Tân Thành, Phường Hòa Thạnh, Quận Tân Phú, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"11,5 tỷ","Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","92 m² (5,2x18,0)",4 phòng,2 WC,N/A,N/A,Tây,Sổ hồng
14 tỷ,"Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","166 m² (7,0x24,0)",8 phòng,8 WC,N/A,Đông,Đông,Sổ hồng
"6,7 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",3 phòng,3 WC,N/A,Đông,Đông,Sổ hồng
5 tỷ,"Đường Lũy Bán Bích, Phường Hiệp Tân, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","50 m² (4,2x14,0)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"12,5 tỷ","Đường Nguyễn Quý Anh, Phường Tân Sơn Nhì, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",4 phòng,5 WC,N/A,N/A,Đông,Sổ hồng
