Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"6,8 tỷ","Đường 48, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",64 m²,4 phòng,5 WC,3,N/A,N/A,Sổ hồng
28 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"143,5 m² (7,0x20,5)",N/A,N/A,4,N/A,N/A,Sổ hồng
"3,2 tỷ","Đường 17, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2,95 tỷ","Đường 16, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",48 m²,4 phòng,5 WC,3,N/A,N/A,Sổ đỏ
"9,8 tỷ","Đường Phạm Văn Đồng, Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Biệt thự, Villa",180 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường Đặng Văn Bi, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","82 m² (5,0x16,0)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
85 tỷ,"Đường 36, Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"7,9 tỷ","Đường 13, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","130 m² (9,0x15,0)",5 phòng,2 WC,2,N/A,Đông Nam,Sổ hồng
15 tỷ,"Đường Tô Ngọc Vân, Phường Tam Bình, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",197 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
42 tỷ,"Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
