Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"2,66 tỷ","Đường Cao Văn Lầu, Phường 2, Quận 6, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",2 phòng,3 WC,1,N/A,N/A,Sổ hồng
"7,1 tỷ","Đường Bình Phú, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"48 m² (4,0x12,0)",2 phòng,2 WC,2,Nam,Nam,Sổ hồng
25 tỷ,"92, Đường Bãi Sậy, Phường 1, Quận 6, TP.HCM",Nhà mặt tiền,"81,4 m² (3,6x23,0)",N/A,N/A,4,Tây Bắc,Tây Bắc,Sổ hồng
62 tỷ,"240 A-B-C-D, Đường Nguyễn Văn Luông, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"182,5 m² (20,0x18,5)",N/A,N/A,1,Tây,Tây,Sổ hồng
"8,9 tỷ","Đường Bình Phú 1, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
980 triệu,"Đường Bình Thới, Phường 3, Quận 6, TP.HCM","Nhà hẻm, ngõ","56 m² (5,0x11,2)",3 phòng,2 WC,1,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường Nguyễn Văn Luông, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","52,7 m²",3 phòng,2 WC,2,N/A,Tây Nam,Sổ hồng
11 tỷ,"Đường Nguyễn Văn Luông, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","94 m² (3,5x27,0)",N/A,N/A,3,N/A,N/A,Sổ đỏ
"2,45 tỷ","Đường Lý Chiêu Hoàng, Phường 10, Quận 6, TP.HCM","Nhà hẻm, ngõ",55 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"9,38 tỷ","Đường số 82, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"60 m² (4,0x15,0)",2 phòng,2 WC,2,Nam,Nam,Sổ hồng
