Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"8,9 tỷ","68/52, Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","65 m² (3,5x20,0)",3 phòng,3 WC,2,Tây Nam,Tây Nam,Sổ hồng
"3,1 tỷ","Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","50 m² (4,0x16,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"10,99 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","100 m² (5,2x20,0)",3 phòng,4 WC,2,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường Hoa Cúc, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",4 phòng,5 WC,4,N/A,N/A,Sổ hồng
"6,9 tỷ","Đường Phan Tây Hồ, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","35 m² (4,5x8,0)",3 phòng,4 WC,3,Đông Nam,Đông Nam,Sổ hồng
"2,7 tỷ","Đường Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
20 tỷ,"Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,6 tỷ","Đường Cù Lao, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","156 m² (4,0x13,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ đỏ
"16,8 tỷ","Đường Nguyễn Trọng Tuyển, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",81 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,85 tỷ","Đường Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",58 m²,4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"7,95 tỷ","486/29, Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","30 m² (3,0x10,0)",3 phòng,5 WC,4,N/A,Đông Nam,Sổ hồng
"6,8 tỷ","20/69A, Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","35 m² (3,5x10,0)",3 phòng,2 WC,3,N/A,Đông Nam,Sổ hồng
"1,65 tỷ","Đường Trương Quốc Dung, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","30,5 m² (4,0x8,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
120 tỷ,"Đường Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"626,4 m²",N/A,N/A,1,N/A,N/A,Sổ hồng
"2,73 tỷ","Đường Trương Quốc Dung, Phường 10, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"60 m² (4,8x13,5)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"5,1 tỷ","Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","24,7 m² (3,1x7,9)",2 phòng,2 WC,1,Đông Bắc,Đông Bắc,Sổ hồng
"5,88 tỷ","Đường Cầm Bá Thước, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",47 m²,N/A,N/A,3,N/A,Đông Nam,Sổ hồng
"4,85 tỷ","Đường Phan Đình Phùng, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","60 m² (3,0x7,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"3,05 tỷ","Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",135 m²,4 phòng,5 WC,3,N/A,N/A,Sổ đỏ
"15,5 tỷ","36b, Đường Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,300 m²,13 phòng,13 WC,6,N/A,N/A,Sổ hồng
"3,04 tỷ","Đường Vũ Huy Tấn, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",48 m²,N/A,N/A,2,N/A,N/A,Sổ hồng
"3,05 tỷ","Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",64 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"6,3 tỷ","Đường Phan Đăng Lưu, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","41 m² (4,6x9,0)",4 phòng,3 WC,4,N/A,N/A,Sổ hồng
40 tỷ,"Đường Trường Sa, Phường 3, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,160 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,6 tỷ","Đường Cô Bắc, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","34 m² (3,2x9,0)",4 phòng,5 WC,4,N/A,N/A,Sổ đỏ
